Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
1QBTS.MI,16.4,2026/02/05,15:29 CET,-0.055000305,16.885,16.98,16.2,8315,20260129,20.0,50.0,0.0,,,,
PNE3.DE,9.33,2026/02/05,15:25 CET,-0.09000015,9.49,9.63,9.26,13272,20251125,9.85,44.0,0.0,,,,
PNE3.DE,9.33,2026/02/05,15:25 CET,-0.09000015,9.49,9.63,9.26,13272,20251107,10.0,66.0,0.0,,,,
0P0001TU93.F,11.27,2026/02/04,22:00 CET,-0.029999733,,,,,20250527,9.81,15.29,0.0,,,n26,
0P0001TU93.F,11.27,2026/02/04,22:00 CET,-0.029999733,,,,,20250819,10.36,14.47,0.0,,,n26,
0P0001TU93.F,11.27,2026/02/04,22:00 CET,-0.029999733,,,,,20250917,10.21,14.46,0.0,,,n26,
0P0001TU93.F,11.27,2026/02/04,22:00 CET,-0.029999733,,,,,20250606,9.95,30.15,0.0,,,n26,
0P0001TU93.F,11.27,2026/02/04,22:00 CET,-0.029999733,,,,,20251017,10.73,14.0,0.0,,,,
0P0001TU93.F,11.27,2026/02/04,22:00 CET,-0.029999733,,,,,20250618,9.87,15.19,0.0,,,n26,
DTE.DE,30.35,2026/02/05,15:29 CET,-0.02999878,30.56,30.57,30.01,3269194,20250930,28.97,35.0,3.0,,,,
EOAN.DE,17.28,2026/02/05,15:29 CET,-0.664999,17.75,17.785,17.21,2545367,,,,,,,,
RWE.DE,51.96,2026/02/05,15:29 CET,-1.8199997,53.16,53.44,51.48,1252901,20250513,32.52,15.0,3.0,,,,
SXR8.DE,620.58,2026/02/05,15:29 CET,-6.0599976,626.0,627.36,619.5,43306,20250305,578.0,5.0,3.0,,,,
NVD.DE,148.2,2026/02/05,15:29 CET,-0.020004272,150.16,151.34,146.3,102056,,,,,,,,
ALV.DE,383.5,2026/02/05,15:29 CET,-3.899994,388.9,388.9,382.4,157878,20240319,266.0,5.0,3.0,,,,
WMT.DE,109.32,2026/02/05,13:59 CET,0.69999695,108.8,109.32,108.22,1242,20240326,55.77,10.0,3.0,,,,
